stock,sector,sub_sector,earnings_date,is_large_reaction,is_extreme_reaction,hist_extreme_prob,global_hist_prob,current_lift_vs_baseline,current_lift_vs_same_bucket_global,extreme_count,risk_level,risk_score,base_extreme_prob
CSX,Industrials,Rail Transportation,2025-07-23,0,0,0.091,0.091,0.786,1.0,740.0,High,78.0,0.116
CSX,Industrials,Rail Transportation,2025-10-16,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,75.0,0.116
CTAS,Industrials,Diversified Support Services,2025-03-25,1,0,0.091,0.091,0.786,1.0,740.0,High,81.0,0.116
CTAS,Industrials,Diversified Support Services,2025-07-24,0,0,0.091,0.091,0.786,1.0,740.0,High,82.0,0.116
CTAS,Industrials,Diversified Support Services,2025-09-23,0,0,0.091,0.091,0.786,1.0,740.0,High,86.0,0.116
CTAS,Industrials,Diversified Support Services,2025-12-18,0,0,0.091,0.091,0.786,1.0,740.0,High,86.0,0.116
CTRA,Energy,Oil & Gas Exploration & Production,2025-02-20,0,0,0.091,0.091,0.786,1.0,740.0,High,79.0,0.116
CTRA,Energy,Oil & Gas Exploration & Production,2025-04-30,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,69.0,0.116
CTRA,Energy,Oil & Gas Exploration & Production,2025-08-04,0,0,0.091,0.091,0.786,1.0,740.0,High,82.0,0.116
CTRA,Energy,Oil & Gas Exploration & Production,2025-11-03,1,1,0.091,0.091,0.786,1.0,740.0,High,79.0,0.116
CTSH,Information Technology,IT Consulting & Other Services,2025-02-05,0,0,0.091,0.091,0.786,1.0,740.0,High,86.0,0.116
CTSH,Information Technology,IT Consulting & Other Services,2025-04-30,1,0,0.105,0.105,0.907,1.0,854.0,Very Low,54.0,0.116
CTSH,Information Technology,IT Consulting & Other Services,2025-07-30,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,75.0,0.116
CTSH,Information Technology,IT Consulting & Other Services,2025-10-29,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,75.0,0.116
CTVA,Materials,Fertilizers & Agricultural Chemicals,2025-02-05,0,0,0.251,0.251,2.163,1.0,2036.0,Extreme,91.0,0.116
CTVA,Materials,Fertilizers & Agricultural Chemicals,2025-05-07,1,1,0.091,0.091,0.786,1.0,740.0,High,78.0,0.116
CTVA,Materials,Fertilizers & Agricultural Chemicals,2025-08-06,0,0,0.251,0.251,2.163,1.0,2036.0,Extreme,92.0,0.116
CTVA,Materials,Fertilizers & Agricultural Chemicals,2025-11-12,0,0,0.091,0.091,0.786,1.0,740.0,High,81.0,0.116
CVNA,Consumer Discretionary,Automotive Retail,2025-02-20,1,1,0.251,0.251,2.163,1.0,2036.0,Extreme,100.0,0.116
CVNA,Consumer Discretionary,Automotive Retail,2025-05-07,1,0,0.091,0.091,0.786,1.0,740.0,High,78.0,0.116
CVNA,Consumer Discretionary,Automotive Retail,2025-07-30,1,1,0.251,0.251,2.163,1.0,2036.0,Extreme,100.0,0.116
CVNA,Consumer Discretionary,Automotive Retail,2025-10-29,1,0,0.251,0.251,2.163,1.0,2036.0,Extreme,98.0,0.116
CVS,Health Care,Health Care Services,2025-02-12,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,45.0,0.116
CVS,Health Care,Health Care Services,2025-05-01,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,45.0,0.116
CVS,Health Care,Health Care Services,2025-07-31,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,48.0,0.116
CVS,Health Care,Health Care Services,2025-10-29,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,71.0,0.116
CVX,Energy,Integrated Oil & Gas,2025-01-31,0,0,0.052,0.052,0.449,1.0,423.0,Low,58.0,0.116
CVX,Energy,Integrated Oil & Gas,2025-05-02,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,35.0,0.116
CVX,Energy,Integrated Oil & Gas,2025-08-01,0,0,0.052,0.052,0.449,1.0,423.0,Low,55.0,0.116
